District,Tehsil,Village
Chittaurgarh,Rawatbhata,Chhatarpura
Chittaurgarh,Rawatbhata,Chittauriya
Chittaurgarh,Rawatbhata,Dabarwas
Chittaurgarh,Rawatbhata,Dareeba
Chittaurgarh,Rawatbhata,Daulpura
Chittaurgarh,Rawatbhata,Deeppura
Chittaurgarh,Rawatbhata,Deopura
Chittaurgarh,Rawatbhata,Deopuriya
Chittaurgarh,Rawatbhata,Dhagadmau Kalan
Chittaurgarh,Rawatbhata,Dhamniya
Chittaurgarh,Rawatbhata,Dhangadmau Khurd
Chittaurgarh,Rawatbhata,Dhardi
Chittaurgarh,Rawatbhata,Dhawad Kalan
Chittaurgarh,Rawatbhata,Dhawad Khurd
Chittaurgarh,Rawatbhata,Dholai
Chittaurgarh,Rawatbhata,Dhuniya
Chittaurgarh,Rawatbhata,Doodi Talai
Chittaurgarh,Rawatbhata,Doongariya
Chittaurgarh,Rawatbhata,Dotara
Chittaurgarh,Rawatbhata,Eklingpura
Chittaurgarh,Rawatbhata,Emti
Chittaurgarh,Rawatbhata,Ganeshpura
Chittaurgarh,Rawatbhata,Ganeshpura
Chittaurgarh,Rawatbhata,Ganga Ka Khera
Chittaurgarh,Rawatbhata,Ghati
Chittaurgarh,Rawatbhata,Gilota
Chittaurgarh,Rawatbhata,Girdiya
Chittaurgarh,Rawatbhata,Gopalpura
Chittaurgarh,Rawatbhata,Gopalpura
Chittaurgarh,Rawatbhata,Gopalpura
Chittaurgarh,Rawatbhata,Gorakiya
Chittaurgarh,Rawatbhata,Govindpura
Chittaurgarh,Rawatbhata,Goyat
Chittaurgarh,Rawatbhata,Gujaron Ki Morvan
Chittaurgarh,Rawatbhata,Gurha Khera
Chittaurgarh,Rawatbhata,Hadon Ki Morvan
Chittaurgarh,Rawatbhata,Hajipur
Chittaurgarh,Rawatbhata,Halsera
Chittaurgarh,Rawatbhata,Hamerganj
Chittaurgarh,Rawatbhata,Haripura
Chittaurgarh,Rawatbhata,Hatholi
Chittaurgarh,Rawatbhata,Jagliya Rundi
Chittaurgarh,Rawatbhata,Jagpura
Chittaurgarh,Rawatbhata,Jai Nagar
Chittaurgarh,Rawatbhata,Jal Khera
Chittaurgarh,Rawatbhata,Jalampura
Chittaurgarh,Rawatbhata,Jalampura
Chittaurgarh,Rawatbhata,Jamboo Kuri
Chittaurgarh,Rawatbhata,Jaora Kalan
Chittaurgarh,Rawatbhata,Jaora Khurd
Chittaurgarh,Rawatbhata,Jaswantpura
Churu,Taranagar,Abhaipura
Churu,Taranagar,Alayla
Churu,Taranagar,Anandsinghpura
Churu,Taranagar,Bain
Churu,Taranagar,Baliya
Churu,Taranagar,Baniyala
Churu,Taranagar,Banra
Churu,Taranagar,Bas Sarayan
Churu,Taranagar,Beeghran
Churu,Taranagar,Beer Taranagar
Churu,Taranagar,Beersani Taranagar
Churu,Taranagar,Bhalau Tal
Churu,Taranagar,Bhalau Teeba
Churu,Taranagar,Bhaleri
Churu,Taranagar,Bhamra
Churu,Taranagar,Bhangera
Churu,Taranagar,Bhanin
Churu,Taranagar,Bharang
Churu,Taranagar,Bhoorawas
Churu,Taranagar,Bhootiya
Churu,Taranagar,Biliya
Churu,Taranagar,Brahmanagar
Churu,Taranagar,Brahmanwasi
Churu,Taranagar,Buchawas
Churu,Taranagar,Chalkoi Gusainyan
Churu,Taranagar,Chalkoi Kheenchran
Churu,Taranagar,Changoi
Churu,Taranagar,Dabri
Churu,Taranagar,Dabri Chhoti
Churu,Taranagar,Damliwas
Churu,Taranagar,Deogarh
Churu,Taranagar,Dhana Bhakhran
Churu,Taranagar,Dhanapatta Rajpura
Churu,Taranagar,Dhanapatta Satyoo
Churu,Taranagar,Dhani Asha
Churu,Taranagar,Dhani Babriyan
Churu,Taranagar,Dhani Bhatiyan
Churu,Taranagar,Dhani Chatusingh
Churu,Taranagar,Dhani Kuldiya
Churu,Taranagar,Dhani Kumharan
Churu,Taranagar,Dhani Mana
Churu,Taranagar,Dhani Meghsar
Churu,Taranagar,Dhani Motisingh
Churu,Taranagar,Dhani Pooniyan
Churu,Taranagar,Dhani Raju
Churu,Taranagar,Dheengi
Churu,Taranagar,Dheerwas Bara
Churu,Taranagar,Dheerwas Chhota
Churu,Taranagar,Duleri
Churu,Taranagar,Gadana
Churu,Taranagar,Gajoowas
Churu,Taranagar,Galgati
Churu,Taranagar,Ghasla Agoona
Chittaurgarh,Rawatbhata,Jawada
Chittaurgarh,Rawatbhata,Jhalar Baori
Chittaurgarh,Rawatbhata,Jharjhani
Chittaurgarh,Rawatbhata,Jheenkra
Chittaurgarh,Rawatbhata,Jhoojhala
Chittaurgarh,Rawatbhata,Kacholiya
Chittaurgarh,Rawatbhata,Kajodiya
Chittaurgarh,Rawatbhata,Kalyanpura
Chittaurgarh,Rawatbhata,Kalyanpura
Chittaurgarh,Rawatbhata,Kanti
Chittaurgarh,Rawatbhata,Kanwarpura
Chittaurgarh,Rawatbhata,Kanwarpura
Chittaurgarh,Rawatbhata,Karanpura
Chittaurgarh,Rawatbhata,Keharpura
Chittaurgarh,Rawatbhata,Kelu Kheri
Chittaurgarh,Rawatbhata,Kesha Ka Khera
Chittaurgarh,Rawatbhata,Kesharpura
Chittaurgarh,Rawatbhata,Kethoola
Chittaurgarh,Rawatbhata,Kewaron Ka Luhariya
Chittaurgarh,Rawatbhata,Khajupura
Chittaurgarh,Rawatbhata,Khal Gaon
Chittaurgarh,Rawatbhata,Khalgaon
Chittaurgarh,Rawatbhata,Khangarpura
Chittaurgarh,Rawatbhata,Kharama
Chittaurgarh,Rawatbhata,Kharnai
Chittaurgarh,Rawatbhata,Khati Khera
Chittaurgarh,Rawatbhata,Khema Ka Khera
Chittaurgarh,Rawatbhata,Khera Veeran
Chittaurgarh,Rawatbhata,Kherat
Chittaurgarh,Rawatbhata,Kherli
Chittaurgarh,Rawatbhata,Khordiya
Chittaurgarh,Rawatbhata,Khumanganj
Chittaurgarh,Rawatbhata,Kishanpuriya
Chittaurgarh,Rawatbhata,Kishorpura
Chittaurgarh,Rawatbhata,Kolpura
Chittaurgarh,Rawatbhata,Koriya Khal
Chittaurgarh,Rawatbhata,Kotra
Chittaurgarh,Rawatbhata,Kripapur
Chittaurgarh,Rawatbhata,Kua Khera
Chittaurgarh,Rawatbhata,Kundaliya
Chittaurgarh,Rawatbhata,Kushalgarh
Chittaurgarh,Rawatbhata,Ladpur
Chittaurgarh,Rawatbhata,Lasana
Chittaurgarh,Rawatbhata,Latoor
Chittaurgarh,Rawatbhata,Laxmi Khera
Chittaurgarh,Rawatbhata,Laxmipura
Chittaurgarh,Rawatbhata,Lothiyana
Chittaurgarh,Rawatbhata,Luhariya
Chittaurgarh,Rawatbhata,Madaar Chok
Chittaurgarh,Rawatbhata,Mahupura
Chittaurgarh,Rawatbhata,Mal Khera
Chittaurgarh,Rawatbhata,Malgarh
Chittaurgarh,Rawatbhata,Malpura
Chittaurgarh,Rawatbhata,Mandesara
Chittaurgarh,Rawatbhata,Manoli
Chittaurgarh,Rawatbhata,Manpura
Chittaurgarh,Rawatbhata,Manya Kheri
Chittaurgarh,Rawatbhata,Matasara
Chittaurgarh,Rawatbhata,Meghniwas
Chittaurgarh,Rawatbhata,Meghpura
Chittaurgarh,Rawatbhata,Menpur
Chittaurgarh,Rawatbhata,Menpura
Chittaurgarh,Rawatbhata,Mohana
Chittaurgarh,Rawatbhata,Mohanpura
Chittaurgarh,Rawatbhata,Mordi
Chittaurgarh,Rawatbhata,Mortooka
Chittaurgarh,Rawatbhata,Motipura
Chittaurgarh,Rawatbhata,Muwada
Chittaurgarh,Rawatbhata,Nagpura
Chittaurgarh,Rawatbhata,Nahargarh
Chittaurgarh,Rawatbhata,Naiyon Ki Talai
Chittaurgarh,Rawatbhata,Nali
Chittaurgarh,Rawatbhata,Narayanpura
Churu,Taranagar,Ghasla Athoona
Churu,Taranagar,Godas
Churu,Taranagar,Gogtiya Baghawatan
Churu,Taranagar,Gogtiya Charnan
Churu,Taranagar,Gogtiya Kachchawatan
Churu,Taranagar,Gogtiya Pata Changoi
Churu,Taranagar,Hadiyal
Churu,Taranagar,Haripura
Churu,Taranagar,Indasi
Churu,Taranagar,Jawanipura
Churu,Taranagar,Jhadsar Bara
Churu,Taranagar,Jhadsar Chhota
Churu,Taranagar,Jhadsar Ganjiya
Churu,Taranagar,Jhadsar Kandhlan
Churu,Taranagar,Jhanjhani
Churu,Taranagar,Jhothra
Churu,Taranagar,Jigsana Tal
Churu,Taranagar,Jigsana Teeba
Churu,Taranagar,Jorji Ka Bas
Churu,Taranagar,Kalas
Churu,Taranagar,Kalwas
Churu,Taranagar,Karanpura
Churu,Taranagar,Karnisar
Churu,Taranagar,Kharathwasiya
Churu,Taranagar,Kharatwas
Churu,Taranagar,Kharthali
Churu,Taranagar,Kikrali Charnan
Churu,Taranagar,Kilipura
Churu,Taranagar,Kirsali Brahman
Churu,Taranagar,Kirsali Kandhlan
Churu,Taranagar,Kohina
Churu,Taranagar,Lakhanwas
Churu,Taranagar,Loodniya
Churu,Taranagar,Loodniya Chhota
Churu,Taranagar,Loonas
Churu,Taranagar,Madawas
Churu,Taranagar,Mahatma
Churu,Taranagar,Mahendrawas
Churu,Taranagar,Mala
Churu,Taranagar,Meghsar
Churu,Taranagar,Mikhala
Churu,Taranagar,Morthal
Churu,Taranagar,Mugalwas
Churu,Taranagar,Narsinagar
Churu,Taranagar,Nethwa
Churu,Taranagar,Ojhriya
Churu,Taranagar,Pandreu Tal
Churu,Taranagar,Pandreu Teeba
Churu,Taranagar,Peethana
Churu,Taranagar,Poonras
Churu,Taranagar,Punsisar
Churu,Taranagar,Raiya Tunda
Churu,Taranagar,Rajpura
Churu,Taranagar,Rampura
Churu,Taranagar,Rangheri
Churu,Taranagar,Redi
Churu,Taranagar,Rekh Kharthali
Churu,Taranagar,Retana
Churu,Taranagar,Rewasi
Churu,Taranagar,Rojhani
Churu,Taranagar,Sahwa
Churu,Taranagar,Sarayan
Churu,Taranagar,Satyoo
Churu,Taranagar,Shekhawas
Churu,Taranagar,Shyam Pandiya
Churu,Taranagar,Shyopura
Churu,Taranagar,Somsisar
Churu,Taranagar,Sukhwasi
Chittaurgarh,Rawatbhata,Nasera
Chittaurgarh,Rawatbhata,Naya Gaon
Chittaurgarh,Rawatbhata,Nayagaon
Chittaurgarh,Rawatbhata,Neem Ka Khera
Chittaurgarh,Rawatbhata,Neem Ka Khera
Chittaurgarh,Rawatbhata,Neemoda
Chittaurgarh,Rawatbhata,Neemri
Chittaurgarh,Rawatbhata,Ogadiya
Chittaurgarh,Rawatbhata,Padajhar Khurd
Chittaurgarh,Rawatbhata,Paral Banda
Chittaurgarh,Rawatbhata,Parlai Khurd
Chittaurgarh,Rawatbhata,Peepal Kheri
Chittaurgarh,Rawatbhata,Peepalda
Chittaurgarh,Rawatbhata,Peepalda
Chittaurgarh,Rawatbhata,Peerpura
Chittaurgarh,Rawatbhata,Phootpal
Chittaurgarh,Rawatbhata,Pratappura
Chittaurgarh,Rawatbhata,Prempura
Chittaurgarh,Rawatbhata,Raipur
Chittaurgarh,Rawatbhata,Rajpura
Chittaurgarh,Rawatbhata,Ramnagar
Chittaurgarh,Rawatbhata,Rampuriya
Chittaurgarh,Rawatbhata,Ratanpura
Chittaurgarh,Rawatbhata,Ratoli
Chittaurgarh,Rawatbhata,Rawatpura
Chittaurgarh,Rawatbhata,Ren Khera
Chittaurgarh,Rawatbhata,Rodi
Chittaurgarh,Rawatbhata,Rooppura
Chittaurgarh,Rawatbhata,Rooppura
Chittaurgarh,Rawatbhata,Saneeta
Chittaurgarh,Rawatbhata,Sanga Ki Badi
Chittaurgarh,Rawatbhata,Sangwa
Chittaurgarh,Rawatbhata,Sankhalon Ka Dhundha
Chittaurgarh,Rawatbhata,Sarangpura
Chittaurgarh,Rawatbhata,Semaliya
Chittaurgarh,Rawatbhata,Semliya
Chittaurgarh,Rawatbhata,Shambhoo Nath Ji Ka Khera
Chittaurgarh,Rawatbhata,Shambhoopura
Chittaurgarh,Rawatbhata,Shogarh
Chittaurgarh,Rawatbhata,Shripura
Chittaurgarh,Rawatbhata,Shyampura
Chittaurgarh,Rawatbhata,Sukhpura
Chittaurgarh,Rawatbhata,Suthala
Chittaurgarh,Rawatbhata,Takarda
Chittaurgarh,Rawatbhata,Talar
Chittaurgarh,Rawatbhata,Tamboliya
Chittaurgarh,Rawatbhata,Teendwa
Chittaurgarh,Rawatbhata,Thah Ka Khera
Chittaurgarh,Rawatbhata,Thamlao
Chittaurgarh,Rawatbhata,Todon Ka Khera
Chittaurgarh,Rawatbhata,Tolon Ka Luhariya
Chittaurgarh,Rawatbhata,Udpuria
Chittaurgarh,Rawatbhata,Udpuriya
Chittaurgarh,Rawatbhata,Umarcha
Chittaurgarh,Rawatbhata,Vijaipur
Churu,Taranagar,Thelana
Churu,Taranagar,Togawas
Chittaurgarh,Rashmi,Achalpura
Chittaurgarh,Rashmi,Adana
Chittaurgarh,Rashmi,Arni
Chittaurgarh,Rashmi,Bakhatawar Pura
Chittaurgarh,Rashmi,Balwantpura
Chittaurgarh,Rashmi,Baroo
Chittaurgarh,Rashmi,Bassi
Chittaurgarh,Rashmi,Bawlas
Chittaurgarh,Rashmi,Bhalotan Ki Kheri
Chittaurgarh,Rashmi,Bhat Kheri
Chittaurgarh,Rashmi,Bheemgarh
Chittaurgarh,Rashmi,Bhopalpura
Chittaurgarh,Rashmi,Bhoplai
Chittaurgarh,Rashmi,Chak Adana No. A
Chittaurgarh,Rashmi,Chak Adana No. B
Chittaurgarh,Rashmi,Chamanpura
Chittaurgarh,Rashmi,Chatawati
Chittaurgarh,Rashmi,Chittauriya
Chittaurgarh,Rashmi,Darba
Chittaurgarh,Rashmi,Depura
Chittaurgarh,Rashmi,Devipura
Chittaurgarh,Rashmi,Devipura B
Chittaurgarh,Rashmi,Devpuri
Chittaurgarh,Rashmi,Devpuriya
Chittaurgarh,Rashmi,Dhangaliya Khera
Chittaurgarh,Rashmi,Dindoli
Chittaurgarh,Rashmi,Dolatpura
Chittaurgarh,Rashmi,Gandraf
Chittaurgarh,Rashmi,Ganeshpura
Chittaurgarh,Rashmi,Ganeshpura
Chittaurgarh,Rashmi,Ganeshpura
Chittaurgarh,Rashmi,Gegpura
Chittaurgarh,Rashmi,Gokalpura
Chittaurgarh,Rashmi,Gopalpura Kalan
Chittaurgarh,Rashmi,Gopalpura Khurd
Chittaurgarh,Rashmi,Gudaliya
Chittaurgarh,Rashmi,Gurjaniya
Chittaurgarh,Rashmi,Hamerpura
Chittaurgarh,Rashmi,Haripura
Chittaurgarh,Rashmi,Harnathpura
Chittaurgarh,Rashmi,Heera Kheri
Chittaurgarh,Rashmi,Indanpura
Chittaurgarh,Rashmi,Jadana
Chittaurgarh,Rashmi,Jagpura
Chittaurgarh,Rashmi,Jalampura
Chittaurgarh,Rashmi,Jawaharpura
Chittaurgarh,Rashmi,Jawanpura
Chittaurgarh,Rashmi,Kanpura
Chittaurgarh,Rashmi,Karas
Chittaurgarh,Rashmi,Kareethara
Chittaurgarh,Rashmi,Karjiya
Chittaurgarh,Rashmi,Keeron Ka Khera
Chittaurgarh,Rashmi,Lalpura
Chittaurgarh,Rashmi,Lasadiya Kalan
Chittaurgarh,Rashmi,Lasadiya Khurd
Chittaurgarh,Rashmi,Lookdi
Chittaurgarh,Rashmi,Mandpiya Mataji Ka
Chittaurgarh,Rashmi,Manyas
Chittaurgarh,Rashmi,Marmi
Chittaurgarh,Rashmi,Matrikundiya
Chittaurgarh,Rashmi,Meda Kheri
Chittaurgarh,Rashmi,Mirchiya Kheri
Chittaurgarh,Rashmi,Muroli
Chittaurgarh,Rashmi,Nandpura
Chittaurgarh,Rashmi,Nangpura
Chittaurgarh,Rashmi,Narayanpura
Chittaurgarh,Rashmi,Nawalpura
Chittaurgarh,Rashmi,Newariya
Chittaurgarh,Rashmi,Pahoona
Chittaurgarh,Rashmi,Pahooni
Chittaurgarh,Rashmi,Panna Khera
Chittaurgarh,Rashmi,Parmeshwar Pura
Chittaurgarh,Rashmi,Pavli
Chittaurgarh,Rashmi,Punawta
Chittaurgarh,Rashmi,Puthwadia
Chittaurgarh,Rashmi,Raipuriya
Chittaurgarh,Rashmi,Rampuriya
Chittaurgarh,Rashmi,Rashmi
Chittaurgarh,Rashmi,Ratan Kheri
Chittaurgarh,Rashmi,Ratna Ka Khera
Chittaurgarh,Rashmi,Rewara
Chittaurgarh,Rashmi,Rood
Chittaurgarh,Rashmi,Rooppura
Chittaurgarh,Rashmi,Rughnathpura
Chittaurgarh,Rashmi,Sankhli
Chittaurgarh,Rashmi,Sanwalpura
Chittaurgarh,Rashmi,Shambhupura
Chittaurgarh,Rashmi,Sihana
Chittaurgarh,Rashmi,Soliya
Chittaurgarh,Rashmi,Somarwalon Ka Khera
Chittaurgarh,Rashmi,Somi
Chittaurgarh,Rashmi,Uncha
Chittaurgarh,Rashmi,Upreda
Chittaurgarh,Rashmi,Uttampura
Alwar,Tijara,Abhanpur
Alwar,Tijara,Adeepur
Alwar,Tijara,Ahamlaka
Alwar,Tijara,Alapur Jatt
Alwar,Tijara,Alapur Meo
Alwar,Tijara,Alawalpur
Alwar,Tijara,Ameer Nagar
Alwar,Tijara,Andhaka
Alwar,Tijara,Arandka
Alwar,Tijara,Asleempur
Alwar,Tijara,Baghor
Alwar,Tijara,Bahadari
Alwar,Tijara,Bai
Alwar,Tijara,Baijalhera
Alwar,Tijara,Baliyawas
Alwar,Tijara,Baloj
Alwar,Tijara,Baman Thedi
Alwar,Tijara,Banban
Alwar,Tijara,Banbeerpur
Alwar,Tijara,Bandapur
Alwar,Tijara,Bandra
Alwar,Tijara,Banjhra
Alwar,Tijara,Barhera
Alwar,Tijara,Basai
Alwar,Tijara,Began Heri
Alwar,Tijara,Berla
Alwar,Tijara,Bhalesar
Alwar,Tijara,Bhamraka
Alwar,Tijara,Bhatkol
Alwar,Tijara,Bhindoosi
Alwar,Tijara,Bhojawas
Alwar,Tijara,Bhoodki
Alwar,Tijara,Bhoodli
Alwar,Tijara,Bibipur
Alwar,Tijara,Bichhala
Alwar,Tijara,Bichpuri
Alwar,Tijara,Bilaspur
Alwar,Tijara,Binoliya
Alwar,Tijara,Bub Ka Hera
Alwar,Tijara,Burera
Alwar,Tijara,Chaupanki
Alwar,Tijara,Chawandi Kalan
Alwar,Tijara,Chawandi Khurd
Alwar,Tijara,Chhapar
Alwar,Tijara,Chooharpur
Alwar,Tijara,Dabhera
Alwar,Tijara,Daganheri
Alwar,Tijara,Daika
Alwar,Tijara,Damdama
Alwar,Tijara,Dhaki
Alwar,Tijara,Dhakpuri
Alwar,Tijara,Dhamawas
Alwar,Tijara,Dheeriyawas
Alwar,Tijara,Dholi Pahari
Alwar,Tijara,Dotana
Alwar,Tijara,Elaka
Alwar,Tijara,Fakaruddinka
Alwar,Tijara,Gadpur
Alwar,Tijara,Gahankhar
Alwar,Tijara,Gandhola
Alwar,Tijara,Gandwa
Alwar,Tijara,Gelpur
Alwar,Tijara,Gol
Alwar,Tijara,Gothra
Alwar,Tijara,Gotoli
Alwar,Tijara,Guwalda
Alwar,Tijara,Hameeraka
Alwar,Tijara,Hasanpur
Alwar,Tijara,Hasanpur Mafi
Alwar,Tijara,Heengwahera
Alwar,Tijara,Husaipur
Alwar,Tijara,Husaipur
Alwar,Tijara,Huseengpur
Alwar,Tijara,Ibrahimpur Mafi
Alwar,Tijara,Ibrahimpur @ Virampur
Alwar,Tijara,Indor
Alwar,Tijara,Ishroda
Alwar,Tijara,Jagmal Heri
Alwar,Tijara,Jairoli
Alwar,Tijara,Jakhopur
Alwar,Tijara,Jalalpur
Alwar,Tijara,Jhiwana
Alwar,Tijara,Jhundpuri
Alwar,Tijara,Jojaka
Alwar,Tijara,Joriya
Alwar,Tijara,Kakrali
Alwar,Tijara,Kalaka
Alwar,Tijara,Kalgaon
Alwar,Tijara,Kamalpur
Alwar,Tijara,Karampur
Alwar,Tijara,Karenda
Alwar,Tijara,Karendi
Alwar,Tijara,Karmsiwas
Alwar,Tijara,Karoli
Alwar,Tijara,Khalilpuri
Alwar,Tijara,Kharkhara
Alwar,Tijara,Kharkhari
Alwar,Tijara,Khatiwas
Alwar,Tijara,Kheri
Alwar,Tijara,Khidarpur
Alwar,Tijara,Khohri Kalan
Alwar,Tijara,Khohri Khurd
Alwar,Tijara,Khuskhera
Alwar,Tijara,Kulawat
Alwar,Tijara,Kultajpur
Alwar,Tijara,Labedar
Alwar,Tijara,Ladamka
Alwar,Tijara,Ladhawara
Alwar,Tijara,Ladiya
Alwar,Tijara,Ladpuri
Alwar,Tijara,Lapala
Alwar,Tijara,Luhadera
Alwar,Tijara,Mahandika
Alwar,Tijara,Maharajpura
Alwar,Tijara,Mahesara
Alwar,Tijara,Mainaki
Alwar,Tijara,Majra Mahaniya
Alwar,Tijara,Majra Peepli
Alwar,Tijara,Majri Goojar
Alwar,Tijara,Maliyar Gurjar
Alwar,Tijara,Maliyar Jatt
Alwar,Tijara,Mandha
Alwar,Tijara,Maseet
Alwar,Tijara,Matawas
Alwar,Tijara,Mayapur
Alwar,Tijara,Meethiyawas
Alwar,Tijara,Milakpur Turk
Alwar,Tijara,Milakpuri
Alwar,Tijara,Mirchooni
Alwar,Tijara,Mosampur
Alwar,Tijara,Mundana
Alwar,Tijara,Muradwas
Alwar,Tijara,Musari
Alwar,Tijara,Musepur
Alwar,Tijara,Nabi Nagar
Alwar,Tijara,Nakhnol
Alwar,Tijara,Nanagheri
Alwar,Tijara,Nangal
Alwar,Tijara,Naugawan
Alwar,Tijara,Naugawan
Alwar,Tijara,Naurangabad
Alwar,Tijara,Neemli
Alwar,Tijara,Nibaheri
Alwar,Tijara,Pahar 
Alwar,Tijara,Pahar Samlat @ Rundh Baghor
Alwar,Tijara,Palasali
Alwar,Tijara,Palpur
Alwar,Tijara,Patan Kalan
Alwar,Tijara,Patan Khurd
Alwar,Tijara,Pathredi
Alwar,Tijara,Pavti
Alwar,Tijara,Peeplana
Alwar,Tijara,Phalsa
Alwar,Tijara,Phullabas
Alwar,Tijara,Rabadka
Alwar,Tijara,Rabhana
Alwar,Tijara,Rahmatnagar
Alwar,Tijara,Rai Khera
Alwar,Tijara,Raipur
Alwar,Tijara,Rajdhoki
Alwar,Tijara,Ram Nagar
Alwar,Tijara,Rambas Jhonpri
Alwar,Tijara,Roopbas
Alwar,Tijara,Rundh Gol
Alwar,Tijara,Rundh Indor
Alwar,Tijara,Salahera
Alwar,Tijara,Salarpur
Alwar,Tijara,Salarpur
Alwar,Tijara,Sare Kalan
Alwar,Tijara,Sare Khurd
Alwar,Tijara,Sarhheta
Alwar,Tijara,Sarkanpur
Alwar,Tijara,Seethal
Alwar,Tijara,Shadipur
Alwar,Tijara,Shahbad
Alwar,Tijara,Shahmat Nagar
Alwar,Tijara,Shahpur
Alwar,Tijara,Shekhpur Aheer
Alwar,Tijara,Shekhpur Jatt
Alwar,Tijara,Siroli Kalan
Alwar,Tijara,Siroli Khurd
Alwar,Tijara,Soorawas
Alwar,Tijara,Tajalka
Alwar,Tijara,Tatarpur
Alwar,Tijara,Teehli
Alwar,Tijara,Thara
Alwar,Tijara,Thons
Alwar,Tijara,Tohra
Alwar,Tijara,Ubaraka
Alwar,Tijara,Udaipur
Alwar,Tijara,Udhanwas
Banswara,Kushalgarh,Aghoriya
Banswara,Kushalgarh,Akhepur
Banswara,Kushalgarh,Amaliya Mal
Banswara,Kushalgarh,Amba
Banswara,Kushalgarh,Ambapara
Banswara,Kushalgarh,Amli - Para
Banswara,Kushalgarh,Amli Para
Banswara,Kushalgarh,Andeshwar
Banswara,Kushalgarh,Andok
Banswara,Kushalgarh,Badoopara
Banswara,Kushalgarh,Bagaycha
Banswara,Kushalgarh,Bagaycha
Banswara,Kushalgarh,Bagaycha
Banswara,Kushalgarh,Bajwa - Amba
Banswara,Kushalgarh,Bakaner
Banswara,Kushalgarh,Bala Chuna
Banswara,Kushalgarh,Bala Sindoor
Banswara,Kushalgarh,Baldiya
Banswara,Kushalgarh,Banka - Khoonta
Banswara,Kushalgarh,Bansri
Banswara,Kushalgarh,Bansripara
Banswara,Kushalgarh,Baori Dindor
Banswara,Kushalgarh,Baori Ninama
Banswara,Kushalgarh,Baori - Para
Banswara,Kushalgarh,Baori Para
Banswara,Kushalgarh,Bari Sarwa
Banswara,Kushalgarh,Barla Ki Rel
Banswara,Kushalgarh,Barli Para
Banswara,Kushalgarh,Barli Para
Banswara,Kushalgarh,Barlipara
Banswara,Kushalgarh,Barwas Kalan
Banswara,Kushalgarh,Barwas Khurd
Banswara,Kushalgarh,Bassi
Banswara,Kushalgarh,Bassi
Banswara,Kushalgarh,Bawaliya Para
Banswara,Kushalgarh,Beeli Para
Banswara,Kushalgarh,Beelri
Banswara,Kushalgarh,Berau - Dhuliya
Banswara,Kushalgarh,Berau - Natha
Banswara,Kushalgarh,Bhagatpura
Banswara,Kushalgarh,Bhandariya
Banswara,Kushalgarh,Bhandariya
Banswara,Kushalgarh,Bhanwarda
Banswara,Kushalgarh,Bhanwarkot
Banswara,Kushalgarh,Bharatgarh
Banswara,Kushalgarh,Bharwel
Banswara,Kushalgarh,Bhat Kheri
Banswara,Kushalgarh,Bhat - Mahuri
Banswara,Kushalgarh,Bhat Varla
Banswara,Kushalgarh,Bhawanon Ki Todi
